Image;True Target;Predicted Target;Similarity;Euclidean Distance;Correct
4_people_1731.png;There are 4 things;There are 4 things;0,27848962;1,2012579441070557;True
5_apples_264.png;There are 5 things;There are 5 things;0,29357046;1,1886374950408936;True
5_apples_263.png;There are 5 things;There are 5 things;0,3005704;1,1827337741851807;True
3_fastcards_2149.png;There are 3 things;There are 3 things;0,23384976;1,2378612756729126;True
9_butterflies_990.png;There are 9 things;There are 9 things;0,25559157;1,2201709747314453;True
9_butterflies_981.png;There are 9 things;There are 9 things;0,25157517;1,2234580516815186;True
8_fastcards_2374.png;There are 8 things;There are 9 things;0,25294915;1,222334623336792;False
7_people_1887.png;There are 7 things;There are 8 things;0,25360894;1,221794605255127;False
9_people_1950.png;There are 9 things;There are 9 things;0,23534815;1,2366502285003662;True
9_apples_456.png;There are 9 things;There are 9 things;0,27056512;1,2078368663787842;True
1_fastcards_2028.png;There are 1 things;There are 1 things;0,22111897;1,248103380203247;True
3_dots_1163.png;There are 3 things;There are 3 things;0,27344966;1,2054462432861328;True
9_dots_1465.png;There are 9 things;There are 9 things;0,26803046;1,2099335193634033;True
8_fastcards_2390.png;There are 8 things;There are 8 things;0,25520974;1,220483660697937;True
5_apples_251.png;There are 5 things;There are 5 things;0,29776555;1,1851030588150024;True
9_apples_460.png;There are 9 things;There are 9 things;0,2685103;1,2095367908477783;True
9_people_1994.png;There are 9 things;There are 9 things;0,2454215;1,2284775972366333;True
4_butterflies_722.png;There are 4 things;There are 4 things;0,2927986;1,1892868280410767;True
6_dots_1318.png;There are 6 things;There are 6 things;0,27715325;1,202370047569275;True
7_fastcards_2316.png;There are 7 things;There are 6 things;0,2575581;1,2185579538345337;False
10_fastcards_2469.png;There are 10 things;There are 10 things;0,24875054;1,2257646322250366;True
8_dots_1427.png;There are 8 things;There are 8 things;0,27215707;1,2065181732177734;True
2_apples_146.png;There are 2 things;There are 2 things;0,25689125;1,2191052436828613;True
4_fastcards_2189.png;There are 4 things;There are 4 things;0,26322907;1,213895320892334;True
8_butterflies_941.png;There are 8 things;There are 8 things;0,26128685;1,2154942750930786;True
6_butterflies_814.png;There are 6 things;There are 6 things;0,27751604;1,2020683288574219;True
5_fastcards_2239.png;There are 5 things;There are 5 things;0,29171187;1,1902002096176147;True
7_apples_381.png;There are 7 things;There are 7 things;0,2803908;1,1996742486953735;True
7_apples_390.png;There are 7 things;There are 8 things;0,2809055;1,1992452144622803;False
1_apples_68.png;There are 1 things;There are 1 things;0,23710161;1,2352315187454224;True
9_people_1969.png;There are 9 things;There are 9 things;0,24071956;1,2322989702224731;True
4_fastcards_2157.png;There are 4 things;There are 4 things;0,27873975;1,2010498046875;True
5_fastcards_2201.png;There are 5 things;There are 5 things;0,27572808;1,2035547494888306;True
10_apples_49.png;There are 10 things;There are 10 things;0,2664765;1,2112171649932861;True
9_fastcards_2433.png;There are 9 things;There are 9 things;0,26913586;1,2090195417404175;True
2_butterflies_620.png;There are 2 things;There are 3 things;0,2456758;1,228270411491394;False
6_fastcards_2256.png;There are 6 things;There are 6 things;0,2838789;1,196763277053833;True
3_apples_183.png;There are 3 things;There are 3 things;0,28311497;1,1974014043807983;True
10_apples_25.png;There are 10 things;There are 10 things;0,26332182;1,213818907737732;True
5_dots_1265.png;There are 5 things;There are 5 things;0,28526506;1,1956044435501099;True
3_apples_167.png;There are 3 things;There are 3 things;0,27132547;1,207207202911377;True
7_people_1894.png;There are 7 things;There are 8 things;0,24179134;1,2314289808273315;False
8_apples_438.png;There are 8 things;There are 8 things;0,27512226;1,2040579319000244;True
6_people_1802.png;There are 6 things;There are 6 things;0,27986312;1,200114130973816;True
4_apples_225.png;There are 4 things;There are 4 things;0,2938768;1,1883797645568848;True
1_butterflies_581.png;There are 1 things;There are 1 things;0,231021;1,2401443719863892;True
8_people_1928.png;There are 8 things;There are 8 things;0,24309246;1,2303720712661743;True
4_apples_223.png;There are 4 things;There are 4 things;0,3038689;1,1799417734146118;True
1_butterflies_595.png;There are 1 things;There are 1 things;0,23349294;1,2381494045257568;True
9_apples_499.png;There are 9 things;There are 9 things;0,26699352;1,2107902765274048;True
10_fastcards_2465.png;There are 10 things;There are 10 things;0,25627375;1,2196115255355835;True
3_fastcards_2129.png;There are 3 things;There are 3 things;0,23986644;1,2329912185668945;True
5_apples_267.png;There are 5 things;There are 5 things;0,29457438;1,1877925395965576;True
7_fastcards_2323.png;There are 7 things;There are 6 things;0,27950194;1,200415015220642;False
